erro_comum,topico,nivel,explicacao_simples,dica_guiada
"UnicodeEncodeError","strings","intermediario","Não foi possível converter caracteres para a codificação escolhida.","A codificação utilizada suporta todos os caracteres presentes no texto?"
"UnicodeDecodeError","strings","intermediario","Não foi possível interpretar corretamente os bytes recebidos.","A codificação usada para ler o arquivo é a mesma usada para salvá-lo?"
"ConnectionError","redes","intermediario","Ocorreu uma falha na conexão com um serviço externo.","O serviço está acessível e a conexão com a internet está funcionando?"
"TimeoutError","redes","intermediario","A operação demorou mais do que o tempo permitido.","O serviço está respondendo lentamente ou a rede está instável?"
"BrokenPipeError","redes","avancado","A comunicação foi interrompida porque a outra ponta da conexão foi encerrada.","A conexão ainda estava ativa quando os dados foram enviados?"
"KeyboardInterrupt","execucao","iniciante","A execução foi interrompida manualmente pelo usuário.","O programa estava preso em um loop ou demorando mais do que o esperado?"
"FloatingPointError","operacoes_matematicas","avancado","Ocorreu um erro relacionado a operações com números de ponto flutuante.","Os cálculos estão gerando valores inválidos ou inesperados?"
"OSError","sistema","intermediario","O sistema operacional reportou um erro durante a execução.","O recurso solicitado existe e está acessível no sistema?"
"ReferenceError","memoria","avancado","Uma referência aponta para um objeto que já não existe mais.","O objeto referenciado ainda está disponível na memória?"
"BufferError","memoria","avancado","Uma operação não pôde ser concluída devido ao estado atual de um buffer.","Existe algum outro processo utilizando esse buffer?"
"LookupError","estruturas_dados","intermediario","O elemento procurado não foi encontrado.","O valor que você está tentando localizar realmente existe?"
"SystemExit","execucao","intermediario","O programa solicitou seu próprio encerramento.","Existe alguma chamada para exit() ou sys.exit() sendo executada?"
"NotImplementedError","poo","intermediario","Um método foi declarado mas ainda não recebeu implementação.","Essa funcionalidade deveria ter sido implementada em uma classe derivada?"
"ConnectionRefusedError","redes","intermediario","O servidor recusou a conexão solicitada.","O serviço está realmente em execução e aceitando conexões?"
"TimeoutExpired","processos","intermediario","Um processo excedeu o tempo limite permitido.","Essa tarefa está demorando mais do que deveria para terminar?"
"ChildProcessError","processos","avancado","Ocorreu um erro ao manipular processos filhos.","O processo filho foi criado e encerrado corretamente?"
